NIH Spending Categorization,Project Terms,Project Title,Public Health Relevance,Administering  IC,Application ID,Award Notice Date,FOA,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Program Official Information ,Project Start Date,Project End Date,Study Section,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Congressional District,Department,DUNS Number,FIPS,Latitude,Longitude,Organization ID (IPF),Organization Name,Organization City,Organization State,Organization Type,Organization Zip,Organization Country,ARRA Indicator,Budget Start Date,Budget End Date,CFDA Code,Funding Mechanism,FY,Funding IC,FY Direct Costs,FY Indirect Costs,FY Total Cost by IC,FY Total Cost (Sub Projects)
No NIH Category available.,Acquired Immunodeficiency Syndrome;Acute;Adhesions;Animal Model;Antigens;Antiplatelet Drugs;Aspirin;Astrocytes;astrogliosis;axon injury;base;Biology;Blood - brain barrier anatomy;Blood Cells;Blood Platelets;Brain;brain endothelial cell;CCL2 gene;CD34 gene;Cells;Cellular Infiltration;Cerebrospinal Fluid;chemokine;Chronic;Clinical Research;clinical translation;Complement;Complex;Consequences of HIV;cytokine;Data;Dose;Early Intervention;Endothelium;Event;Extravasation;Hematopoietic stem cells;HIV;HIV Infections;HIV-1;HIV-associated neurocognitive disorder;Homeostasis;Human;humanized mouse;Immune;immune activation;in vitro Model;Incubated;Individual;Infection;Inflammation;inhibitor/antagonist;Integrins;Investigation;Learning;Leukocytes;Literature;Measures;Mediating;Membrane;migration;Modeling;monocyte;monolayer;Mus;Nervous System Trauma;Neuraxis;Neurodevelopmental Disorder;neuroinflammation;neuroprotection;neutralizing antibody;novel;novel lead compound;P-Selectin;P-selectin ligand protein;Pathologic;Peripheral;Persons;Pharmaceutical Preparations;Phenotype;Physiological;Plasma;Platelet Activation;Platelet Inhibitors;Play;Process;Production;public health relevance;recruit;Reporting;Research;Research Infrastructure;Research Personnel;response;Role;shear stress;Side;Testing;Therapeutic;Time;Tissues;trafficking;Tropism;Universities;Viral;Viral Load result;Viral reservoir;virology;Virus Integration;,Platelet-mediated neuroinflammatory response to HIV,PUBLIC HEALTH RELEVANCE: This proposal focuses on learning how small blood cells known as platelets promote migration of HIV- infected white cells into the brain during acute and chronic stages of HIV infection ultimately leading to the establishment of viral reservoirs in the brain and development of neurologic disorders in HIV-infected individuals.,NINDS,9634115,16-Jan-19,PA-13-302,5R01NS066801-09,5,R01,NS,66801,9,,"WONG, MAY",15-Feb-10,31-Jan-21,NeuroAIDS and other End-Organ Diseases Study Section (NAED) ,,3144985,"MAGGIRWAR, SANJAY B.",Not Applicable,25,MICROBIOLOGY/IMMUN/VIROLOGY,41294109,US,43.16888,-77.615939,7047101,UNIVERSITY OF ROCHESTER,ROCHESTER,NY,SCHOOLS OF DENTISTRY,14627-0140,UNITED STATES, ,1-Feb-19,31-Jan-20,853,Research Projects,2019,NINDS,262625,121500,384125,
No NIH Category available.,Address;Adult;Anatomy;Animals;anterograde transport;arm;Behavior;Behavioral;Bilateral;Cells;central pattern generator;Cervical;Contusions;Data;Development;Dissection;Doxycycline;drinking water;Elements;Excision;experimental study;Forelimb;Gait;Grant;Hindlimb;Histologic;Histology;Injury;insight;Interneurons;Ipsilateral;kinematics;limb movement;Locomotion;Locomotor Recovery;Lumbar Regions;Molecular;Motor Activity;Movement;neural circuit;Neural Pathways;Neurons;neurotransmission;Neurotransmitters;neurotropic;novel;Outcome;Pathway interactions;Phenotype;Physiological;Play;Population;Presynaptic Terminals;Process;public health relevance;Rattus;Recovery;Recovery of Function;retrograde transport;Role;Severities;Spinal;Spinal Cord;Spinal Cord Contusions;Spinal cord injury;Subfamily lentivirinae;Synaptic Transmission;System;Testing;Tetracycline Control;Therapeutic;therapeutic target;Time;tool;vector;Virus;Walking;Weight-Bearing state;white matter;Work;,Functional consequences of silencing propriospinal pathways after SCI in the adult rat,PUBLIC HEALTH RELEVANCE: This grant examines the role of the long ascending and descending propriospinal neurons (LAPNs; LDPNs) in the inter-enlargement control of forelimb hindlimb coordination. Using a novel two virus vector system; we can transiently silence these neural pathways and examine the effects on both normal walking behavior and their contribution to functional recovery after spinal cord injury (SCI). Successful completion of the experiments outlined in this proposal would provide important insight in the potential for harnessing these pathways to enhance functional recovery after SCI.,NINDS,9625808,15-Jan-19,PA-13-302,5R01NS089324-05,5,R01,NS,89324,5,,"JAKEMAN, LYN B",1-Feb-15,31-Jan-20,Clinical Neuroplasticity and Neurotransmitters Study Section (CNNT) ,,1932676,"MAGNUSON, DAVID SK ","WHITTEMORE, SCOTT R",3,NEUROSURGERY,57588857,US,38.185212,-85.660469,4679701,UNIVERSITY OF LOUISVILLE,LOUISVILLE,KY,SCHOOLS OF MEDICINE,40292-0001,UNITED STATES, ,1-Feb-19,31-Jan-20,853,Research Projects,2019,NINDS,266909,131898,398807,
No NIH Category available.,Affect;Affinity;Aging;Agonist;analog;Animals;Attention deficit hyperactivity disorder;attenuation;Autoradiography;base;behavior test;Behavioral;Binding;Binding Sites;Biological;Biological Assay;Biological Availability;Brain;Catechols;Chemicals;Chemistry;Clinical;clinical development;clinical imaging;Clinical Research;Cocaine Abuse;Cognition;Cognitive deficits;Coupled;Data;density;desensitization;Disease;Dopamine;Dopamine D1 Receptor;Dopamine Receptor;Dose;drug candidate;Dyskinetic syndrome;experience;Goals;GTP-Binding Proteins;imaging study;In Vitro;in vivo;in vivo imaging;Knowledge;Laboratories;Laboratory Study;Lead;Legal patent;Levodopa;Ligands;Measures;meetings;Mental disorders;Metabolism;Methods;Modeling;Molecular;Molecular Probes;Motor;Mus;nervous system disorder;nonhuman primate;novel;Occupations;Oral;Parkinson Disease;Pharmacodynamics;Pharmacology;Phase;Physiological;Positron-Emission Tomography;pre-clinical;preclinical study;Procedures;Process;programs;Property;Protocols documentation;Radiolabeled;radioligand;Rattus;receptor;Reporting;Research;Research Design;response;screening;Seizures;Series;Short-Term Memory;Signal Transduction;single photon emission computed tomography;Site;SKF38393;Sleep;Testing;Therapeutic;Tracer;Translating;Work;,In vivo agonist molecular probes for the dopamine D1 receptor,Project Narrative Dopamine D1 agonists have shown unique clinical potential for numerous disorders including cognitivedeficits (e.g.; from psychiatric or neurologic disorders or aging); attention deficit hyperactivity disorder;Parkinson?s disease; and cocaine abuse. Study of the mechanisms of this target will require an in vivoradioligand suitable for SPECT and PET-type studies that has selectivity for the high affinity (active) state ofthe D1 receptor. We propose discovery and testing of such a molecule (a selective D1 radioagonist) to be usedwidely in basic and clinical studies.,NINDS,9645677,24-Jan-19,PA-16-160,5R01NS105471-02,5,R01,NS,105471,2,,"SIEBER, BETH-ANNE",15-Feb-18,31-Jan-21,Special Emphasis Panel (ZRG1-MDCN-C (58)S),,1857982,"MAILMAN, RICHARD B ","SHARMA, ARUN KUMAR",15,PHARMACOLOGY,129348186,US,40.26536,-76.625873,1524204,PENNSYLVANIA STATE UNIV HERSHEY MED CTR,HERSHEY,PA,SCHOOLS OF MEDICINE,17033-2360,UNITED STATES, ,1-Feb-19,31-Jan-20,853,Research Projects,2019,NINDS,224045,119416,343461,
No NIH Category available.,Alzheimer's Disease;Animal Model;Animals;Ants;Automobile Driving;base;Bees;Behavior;Behavioral;Biological;Biological Models;Brain;cell type;Cells;Cognition;cognitive function;cognitive neuroscience;cognitive process;Complex;Computer Simulation;Darkness;Dementia;Deterioration;Drosophila genus;Drosophila melanogaster;Face;fly;Fruit;Genetic;Genetic Models;Goals;Head;Home environment;Impairment;Individual;Insecta;insight;Left;Link;Location;Locomotion;Mammals;Memory;Mental disorders;meter;Methods;Modeling;Motor;Movement;Nature;Navigation System;neural circuit;Neurologic;Neurons;novel therapeutics;Pattern;Physiological;Physiology;Positioning Attribute;Primates;Rodent;Rodent Model;Role;Sensory;Signal Transduction;Societies;Speed;Subway;Supermarket;Synapses;System;Testing;The Sun;Therapeutic;Thinking;Time;two-dimensional;Update;Vision;Visit;Walking;way finding;Work;,Neural circuits for spatial navigation,Project NarrativeSeveral dementias; including Alzheimer?s disease; include deteriorations in our ability to understand andremember where we are in space. A richer cellular and circuit-level understanding of how spatial navigation isachieved may inform novel therapeutic strategies for targeting these conditions; reducing the heavy burdenthey place on individuals and society.,NINDS,9616311,31-Dec-18,RFA-NS-17-014,5R01NS104934-02,5,R01,NS,104934,2,,"DAVID, KAREN KATE",1-Jan-18,31-Dec-22,Special Emphasis Panel (ZRG1-IFCN-T (50)),,3133583,"MAIMON, GABY ",Not Applicable,12,INTERNAL MEDICINE/MEDICINE,71037113,US,40.762898,-73.95652,7056601,ROCKEFELLER UNIVERSITY,NEW YORK,NY,OTHER DOMESTIC HIGHER EDUCATION,10065-6399,UNITED STATES, ,1-Jan-19,31-Dec-19,853,Research Projects,2019,NINDS,250000,173750,423750,
No NIH Category available.,Ablation;Address;Affect;Amyotrophic Lateral Sclerosis;Apoptotic;Autophagocytosis;Binding;Biochemical;Bioenergetics;Biogenesis;Buffers;Calcium;Cells;Chronic;Complement;Cytoplasm;Defect;Disease;Ensure;Equilibrium;Event;exhaustion;expectation;Failure;Familial Amyotrophic Lateral Sclerosis;Free Radicals;Functional disorder;Genetic;Homeostasis;Impairment;In Vitro;in vivo;in vivo Model;Intervention;Lead;Link;live cell imaging;Lysosomes;Membrane;Mitochondria;mitochondrial dysfunction;mitochondrial membrane;Mitochondrial Membrane Protein;mitochondrial metabolism;Mitochondrial Proteins;Modeling;Molecular;motor neuron degeneration;Motor Neurons;Mus;mutant;Mutant Strains Mice;Mutation;Natural History;Nerve Degeneration;Neurodegenerative Disorders;neuron loss;Neurons;novel;Organelles;Outer Mitochondrial Membrane;overexpression;parkin gene/protein;Pathogenesis;Pathogenicity;Pathway interactions;Pharmacology;Phenotype;PINK1 gene;Play;Process;protein degradation;Proteins;public health relevance;Quality Control;Reporter;response;Role;Site;Spinal Cord;superoxide dismutase 1;System;Testing;therapeutic target;Time;Tissues;Transgenic Mice;Ubiquitin;ubiquitin ligase;ubiquitin-protein ligase;Ubiquitination;upstream kinase;,Mitochondria quality control in SOD1-ALS,PUBLIC HEALTH RELEVANCE: Mitochondria play an essential role in neurons and mitochondrial abnormalities are common denominators of many types of neurodegenerative diseases. In familial ALS caused by mutations in SOD1; motor neurons accumulate abnormal and dysfunctional mitochondria. The mechanisms of mitochondria quality control (MQC) that eliminate damaged mitochondria fail; suggesting that MQC in ALS motor neurons is ineffective. As a consequence; damaged mitochondria can become toxic. This application will investigate the MQC failure in SOD1 mutant neurons and its contribution ALS.,NINDS,9598346,13-Dec-18,PA-13-302,5R01NS062055-10,5,R01,NS,62055,10,,"GUBITZ, AMELIE",1-Apr-08,31-Dec-19,Neural Oxidative Metabolism and Death Study Section (NOMD) ,,3150937,"MANFREDI, GIOVANNI ",Not Applicable,12,NEUROLOGY,60217502,US,40.76491,-73.955055,1514803,WEILL MEDICAL COLL OF CORNELL UNIV,NEW YORK,NY,SCHOOLS OF MEDICINE,10065-4805,UNITED STATES, ,1-Jan-19,31-Dec-19,853,Research Projects,2019,NINDS,218750,152031,370781,
No NIH Category available.,Action Potentials;Affect;afferent nerve;analytical tool;Animals;Antiretroviral resistance;antiretroviral therapy;Blood Circulation;C Fiber;Calcium;Characteristics;chemokine;Clinical;Complication;Confocal Microscopy;Cornea;Cutaneous;cytokine;Development;Disease Progression;electrical property;Electrophysiology (science);Fiber;foot sole;functional disability;Ganglia;Genetic Transcription;global health;Goals;guided inquiry;Harvest;HIV;HIV Infections;HIV neuropathy;Hyperalgesia;Hypersensitivity;Image;immune activation;Impairment;in vivo;Individual;Infection;Inflammation;Inflammation Mediators;Inflammatory Response;innovation;insight;interdisciplinary approach;Interdisciplinary Study;Investigation;Lead;Macaca;macrophage;Measures;Mediating;medical schools;Modeling;nano-string;Nerve;Nerve Fibers;Neurologic;neuronal excitability;Neurons;Neuropathy;neurophysiology;Nociception;Nociceptors;novel;novel therapeutics;Pain;painful neuropathy;patch clamp;Patch-Clamp Techniques;Patients;Peripheral;Peripheral Nerves;Peripheral Nervous System;Peripheral Nervous System Diseases;Pharmaceutical Preparations;Plasma;Play;Primates;Property;protein expression;Protein Isoforms;public health relevance;Quality of life;Research;Research Personnel;response;Role;Sensory;sensory neuropathy;Shapes;SIV;small molecule;Sodium;Sodium Channel;Spinal Ganglia;spontaneous pain;Stimulus;Techniques;Technology;Testing;therapeutic development;Time;tool;Topical application;Toxin;treatment strategy;Universities;Unmyelinated Nerve Fibers;Virus Replication;voltage;,SIV-induced Inflammation Causes Functional Impairment of the PNS,PUBLIC HEALTH RELEVANCE: HIV-associated sensory neuropathy is the most common neurologic complication of HIV infection. Severe pain and hypersensitivity in the soles of the feet; although not life threatening; markedly impair quality of life. Studies of HIV damage to the peripheral nervous system in the SIV-macaque model offers a unique opportunity to define how SIV-induced inflammation impairs sensory nerve function; thereby guiding discovery of new therapies.,NINDS,9629757,18-Jan-19,PA-14-094,5R01NS097221-04,5,R01,NS,97221,4,,"WONG, MAY",1-Apr-16,31-Jan-21,NeuroAIDS and other End-Organ Diseases Study Section (NAED) ,,1857946,"MANKOWSKI, JOSEPH L ","BOSMANS, FRANK GERT WERNER;RINGKAMP, MATTHIAS ",7,VETERINARY SCIENCES,1910777,US,39.329164,-76.617855,4134401,JOHNS HOPKINS UNIVERSITY,BALTIMORE,MD,SCHOOLS OF MEDICINE,21205-1832,UNITED STATES, ,1-Feb-19,31-Jan-20,853,Research Projects,2019,NINDS,472157,268557,740714,
No NIH Category available.,"Adult;Agonist;Alleles;Biochemical;Biological Assay;blood vessel occlusion;Blood Vessels;Brain;Brain Injuries;Brain region;brain tissue;Candidate Disease Gene;Cause of Death;Cerebral Infarction;Cessation of life;Chromosome Mapping;Chromosomes, Human, Pair 8;Clinical;clinically relevant;Complex;Data;deprivation;design;Development;disease phenotype;Distal;drug development;Drug Targeting;druggable target;Engineering;Event;experience;Explosion;forward genetics;gain of function;gene discovery;Genes;Genetic;genetic approach;genetic variant;genome wide association study;genome-wide;Glucose;Goals;Human;Hybrids;improved;in vivo;Inbred Strain;Inbred Strains Mice;Individual;Infarction;Injury;innovation;Intervention;Ischemia;Ischemic Stroke;Laboratory mice;lipid metabolism;Location;loss of function;Maps;mature animal;Medical;middle cerebral artery;Modeling;Molecular;mouse genome;Mouse Strains;Mus;Nature;Neurons;neuroprotection;new therapeutic target;novel;novel strategies;novel therapeutics;Nutrient;Operative Surgical Procedures;Organ;Oxygen;Pharmaceutical Chemistry;Pharmaceutical Preparations;Phenotype;Physiological;Population;Proteins;Publishing;Reproducibility;Research;Resources;Risk Factors;RNA Interference;Scientist;screening;Slice;Stroke;stroke clinical trials;stroke intervention;stroke outcome;stroke patient;stroke risk;stroke symptom;stroke therapy;stroke treatment;Surveys;Symptoms;System;Testing;Therapeutic;Time;trait;Transfection;Transgenic Mice;Translations;Variant;whole genome;Work;",Novel Targets for Stroke Intervention - Gene Discovery for Modulators of Infarction,When a blood vessel that supplies a region of the brain is blocked; that region canno longer receive oxygen and nutrients; and the brain tissue dies. The irreversible death of brain tissue isa termed a cerebral infarct. This event is termed an ischemic stroke. Stroke is the fourth leading causeof death in the US; with almost 800;000 new cases occurring each year. At least 50 new drugs havebeen tested in over 150 clinical trials for stroke; but none has proven to reduce the size of the infarctonce a stroke has occurred. Thus; there is an urgent need to identify and develop new drug targets toprovide effective protection to damaged brain tissues in the treatment of stroke. Our proposed studytakes advantage of innovative approaches developed by the partnering scientists combining mousegenetics and a stroke-in-a petri dish assay to identify new drug targets for stroke therapy.,NINDS,9597915,30-Nov-18,PA-16-160,5R01NS100866-02,5,R01,NS,100866,2,,"BOSETTI, FRANCESCA",1-Dec-17,30-Nov-22,Genetics of Health and Disease Study Section (GHD) ,,1918508,"MARCHUK, DOUGLAS A. ","FLOYD, SCOTT R",1,GENETICS,44387793,US,36.006824,-78.924579,2221101,DUKE UNIVERSITY,DURHAM,NC,SCHOOLS OF MEDICINE,27705-4673,UNITED STATES, ,1-Dec-18,30-Nov-19,853,Research Projects,2019,NINDS,412881,226207,639088,
No NIH Category available.,Address;Animals;Behavior;Biological;Brain;Computer Simulation;Crustacea;experimental study;Financial compensation;flexibility;Funding;Future;Ganglia;Goals;Human;Individual;Invertebrates;Ion Channel;Light;Measures;Membrane Proteins;Modeling;National Institute of Neurological Disorders and Stroke;Nervous system structure;Neuromodulator Receptors;Neurons;neuroregulation;receptor;Regulation;response;Synapses;Temperature;Time;Work;,Neuromodulation and Robustness of Neurons and Networks,Project Narrative Neurons must constantly rebuild themselves as the membrane proteins that giverise to synaptic connectivity and electrical excitability are replaced. At the same time;brain circuits must be stable. The goals of this project are to understand how individualanimals achieve robust function over time in the face of the need to respond flexibly toenvironmental perturbations.,NINDS,9605796,29-Nov-18,RFA-NS-16-001,5R35NS097343-03,5,R35,NS,97343,3,,"GNADT, JAMES W",1-Dec-16,30-Nov-24,Special Emphasis Panel (ZNS1-SRB-E (07)),,1862691,"MARDER, EVE E",Not Applicable,5,BIOLOGY,616845814,US,42.388905,-71.242096,925301,BRANDEIS UNIVERSITY,WALTHAM,MA,SCHOOLS OF ARTS AND SCIENCES,02453-2728,UNITED STATES, ,1-Dec-18,30-Nov-19,853,Research Projects,2019,NINDS,600000,360371,960371,
No NIH Category available.,Acoustics;Address;Adolescent;Adult;Affect;Animals;Assimilations;auditory feedback;Basal Ganglia;Behavior;bird song;Birds;Brain;Cell Nucleus;Cells;Code;Complex;Crystallization;Data;density;Development;Diagnostic;Electrodes;Equation;exhaustion;experience;experimental study;extracellular;Feedback;fictional works;Functional disorder;Hodgkin-Huxley model;In Vitro;in vivo;Individual;Injections;insight;Ions;juvenile animal;learned behavior;Learning;Link;Maintenance;male;Manuals;Mathematics;mature animal;Methods;model development;Modeling;Motor Cortex;Movement Disorders;network models;Neurons;Nonlinear Dynamics;novel;Pattern;Performance;Pharmacology;phonology;Physiologic pulse;Population;Preparation;Procedures;Production;Property;Prosencephalon;Regulation;relating to nervous system;Research;response;Role;Shapes;Siblings;Signal Transduction;Site;Sleep;Songbirds;Stimulus;Structure;Synapses;Synaptic plasticity;System;Techniques;Testing;Time;Training;tutoring;vocal learning;Whole-Cell Recordings;zebra finch;,Plasticity of intrinsic neuronal properties; error signals; and network models in sensorimotor learning,Project NarrativeHow the brain learns is central to its function and dysfunction; with learning typically thought to reflect changesin synapses. This research tests a novel hypotheses regarding the role of intrinsic properties of neurons inregulating feedback during learning; in neurons that project to the part of the brain that is implicated in manymovement disorders.,NINDS,9823619,30-Nov-18,PA-18-484,1R56NS094831-01A1,1,R56,NS,94831,1,A1,"GNADT, JAMES W",1-Dec-18,30-Nov-19,Sensorimotor Integration Study Section (SMI) ,,1862654,"MARGOLIASH, DANIEL  ","ABARBANEL, HENRY D. I.",1,BIOLOGY,5421136,US,41.789554,-87.601172,1413601,UNIVERSITY OF CHICAGO,CHICAGO,IL,SCHOOLS OF MEDICINE,60637-5418,UNITED STATES, ,1-Dec-18,30-Nov-19,853,Research Projects,2019,NINDS,350000,190340,540340,
No NIH Category available.,actigraphy;Acute;Adolescent;Affect;Age;Animal Model;Animals;Attention;auditory processing;Awareness;base;Behavior;Behavioral;Benchmarking;Biological Markers;Biomechanics;Biomedical Engineering;boys;Brain;Brain Concussion;Child;Childhood;Clinical;clinical Diagnosis;Cognitive;cohort;Computer Simulation;concussive symptom;Country;Data;design;Diagnosis;Diagnostic;Emotional;Enrollment;Ensure;Equilibrium;Equipment;Equipment Design;Equipment Safety;experience;Exposure to;Eye;Family suidae;Female;Field Hockey;Frequencies;functional disability;functional outcomes;Future;Gender;girls;Goals;Golf;Head;head impact;Healthcare;high risk;High School Student;Human;Ice Hockey;improved;Incidence;Injury;injury prevention;innovation;insight;Institute of Medicine (U.S.);interdisciplinary approach;Knowledge;Lacrosse;Lead;Long-Term Effects;Longitudinal Studies;male;Manufactured Baseball;Manufactured basketball;Manufactured football;Measures;Memory;Methods;mild traumatic brain injury;Modeling;Motion;Motor;Neurocognitive;neuroimaging;Neurological outcome;neuropathology;Neurosciences;new technology;novel;novel strategies;oculomotor;Outcome;Patients;pediatric traumatic brain injury;Physical Education;Physiological Processes;Play;Prevention strategy;Preventive Intervention;Process;processing speed;prognostic;prognostic value;Protective Devices;Quality of life;Recovery;Reporting;Research;Research Design;Research Project Grants;Risk;Risk Factors;Role;Rotation;Sample Size;Seasons;sensor;sensor technology;Serum;sex;Short-Term Memory;Sleep;Soccer;Softball;Specificity;Sports;Students;symptomatology;Symptoms;Teenagers;Tennis;Testing;Time;tool;Translating;Traumatic Brain Injury;visual processing;willingness;Youth;,Objective Translational Multi-domain Early Concussion Assessment,NARRATIVEAs the incidence and awareness of sports-related concussions and multiple sub-concussive loads raisesconcern about long-term effects of repeated exposures to mild traumatic brain injuries; scientific approaches toinjury prevention and treatment are hampered by the subjective; binary aspects of concussion diagnosis; and alack of knowledge about the role that age; sex and biomechanical load have in exacerbating outcomes. Ourproposed research plan using animals and high school students will identify objective graded diagnosticmetrics; determine sports settings with highest load exposures; relate rapid head rotation magnitude anddirection to short-term outcomes; and elucidate biomechanical injury thresholds; and age- and sex-based riskfactors for concussion.,NINDS,9758564,28-Jan-19,PAR-16-242,5R01NS097549-04,5,R01,NS,97549,4,,"BELLGOWAN, PATRICK S F",1-Jul-18,31-Jan-22,Acute Neural Injury and Epilepsy Study Section (ANIE) ,,1879509,"MARGULIES, SUSAN SHEPS ","ARBOGAST, KRISTY ;MASTER, CHRISTINA ",5,BIOMEDICAL ENGINEERING,66469933,US,33.762977,-84.42296,2384501,EMORY UNIVERSITY,ATLANTA,GA,SCHOOLS OF MEDICINE,30322-4250,UNITED STATES, ,1-Feb-19,31-Jan-20,853,Research Projects,2019,NINDS,661969,189968,851937,
No NIH Category available.,Angiopoietin-2;anti-tumor immune response;antigen processing;antigenic peptide transporter;Applications Grants;base;Brain;Brain Neoplasms;cancer therapy;cancer vaccination;Cancer Vaccines;CD4 Positive T Lymphocytes;CD47 gene;Cell model;Cells;checkpoint inhibition;Clinical;Clinical Trials;Competence;cost;cytokine;design;Development;Distant;Environment;Event;expression vector;FDA approved;Future;gene product;Genes;Genetic;genetically engineered virus;Genome;Glioblastoma;Glioma;Goals;Grant;Hand;Health;HSV vector;Human;Immune;Immune checkpoint blockade;Immune checkpoint inhibitor;Immune response;Immune system;Immunization;immunoregulation;Immunosuppression;Immunosuppressive Agents;immunotherapeutic virotherapy;Immunotherapy;improved;improved outcome;In complete remission;In Situ;inhibitor/antagonist;interest;Interleukin-12;Invaded;Japan;Length;Ligands;lymphoid neoplasm;macrophage;Medical Device;Morbidity - disease rate;Mus;neoplastic cell;novel;oncolysis;Oncolytic;oncolytic herpes simplex virus;oncolytic virotherapy;Oncolytic viruses;Patients;Pharmaceutical Preparations;Pharmacologic Substance;Phase;Phase I Clinical Trials;preclinical study;Process;programs;Public Health;Refractory;Reporting;Research;Research Design;Resistance;Role;Safety;Simplexvirus;Solid Neoplasm;standard of care;stem cell population;Stem cells;synergism;T-Cell Activation;Technology;Testing;Therapeutic;therapy outcome;Toxic effect;Treatment Efficacy;tumor;tumor growth;Tumor Immunity;tumor microenvironment;vaccine response;vector;Viral;virtual;Virus;welfare;Work;,Genetically Engineered Viruses for Brain Tumor Therapy,NARRATIVE and Public Health ImpactGlioblastoma is a uniformly fatal tumor that has been refractory to all forms of therapy. In the studies we areproposing; we explore the combined use of uniquely designed oncolytic viruses to overcome the currentlimitations of immune therapy through local intra-tumoral expression of immune co-stimulatory molecules inconcert with cytokine stimulation and modulation of the tumor microenvironment to produce an in-situ oncolytictumor vaccine response to not only kill local tumor cells but also to eliminate distant invading tumor cells. Weexpect that this will lead to an improved immunovirotherapy approach to take into clinical trial for glioblastoma;which is not only novel and unique but would also apply to other tumors both in the brain and in the periphery.,NINDS,9610731,21-Nov-18,PA-16-160,5R01NS032677-26,5,R01,NS,32677,26,,"FOUNTAIN, JANE W",1-May-94,30-Nov-22,Clinical Neuroimmunology and Brain Tumors Study Section (CNBT) ,,1893202,"MARTUZA, ROBERT L",Not Applicable,8,Unavailable,73130411,US,42.347465,-71.082058,4907701,MASSACHUSETTS GENERAL HOSPITAL,BOSTON,MA,Independent Hospitals,02114-2696,UNITED STATES, ,1-Dec-18,30-Nov-19,853,Research Projects,2019,NINDS,325439,222926,548365,
No NIH Category available.,Address;African;Age;Animal Model;Apraxias;APTX gene;Ataxia;Ataxia Telangiectasia;ataxia telangiectasia mutated protein;Ataxia Telangiectasia Patients;ATM gene;base;Birth;Blood - brain barrier anatomy;Child;Clinical;Clinical Treatment;clinically relevant;dalton;Data;Disease;DNA Repair;DNA Repair Gene;DNA Repair Pathway;DNA Sequence Alteration;Dose;ds-DNA;effective therapy;Effectiveness;efficacy study;Exhibits;Exons;Functional disorder;Future;gene product;Genes;Genetic Diseases;Genotype;Hereditary Disease;Human;human disease;Immune;Immunologic Deficiency Syndromes;In Vitro;in vitro Assay;in vivo evaluation;Individual;induced pluripotent stem cell;Inherited;Knock-out;Knockout Mice;Lead;Legal patent;Length;Location;Malignant Neoplasms;Measurement;Messenger RNA;Modeling;Molecular Weight;Motor;motor control;mouse model;Mus;mutant;mutant mouse model;Mutant Strains Mice;Mutation;Nature;Nerve Degeneration;neurobehavioral test;neurocognitive test;Nonsense Mutation;oculomotor;Other Genetics;Patients;Phenotype;physical property;Placenta;Positioning Attribute;Predisposition;premature;Production;Protein-Serine-Threonine Kinases;Proteins;reduce symptoms;Rest;Ribosomes;safety study;safety testing;small molecule;Symptoms;Terminator Codon;Testing;therapeutic evaluation;Time;Toxic effect;Transcript;Wheelchairs;,A New Mouse Model of Ataxia-Telangiectasia for Testing Therapeutic Read-Through Compounds,Project Narrative There are no effective therapies for Ataxia Telangiectasia (A-T) ? a catastrophic and lethal disease ? inlarge part because we lack animal models that mimic clinical features of this inherited disease. We propose tocreate; characterize; and comprehensively phenotype a new compound mutant mouse model of A-T thatcontains a patient-derived copy of the disease-causing genetic mutation; we predict this new mouse model;which is already partially created will display the devastating ataxic symptoms of A-T. This will allow us to thenproceed to test our ?SMRT? compounds (for Small Molecule Read-Through) that we have previouslydemonstrated to be effective at treating A-T in vitro and ex vivo.,NINDS,9625177,6-Dec-18,PA-16-162,5R03NS103066-02,5,R03,NS,103066,2,,"ZHANG, RAN",15-Jan-18,31-Dec-19,Cell Death in Neurodegeneration Study Section (CDIN) ,,10536665,"MATHEWS, PAUL JAMES",Not Applicable,43,Unavailable,69926962,US,33.834898,-118.292983,2543101,LA BIOMED RES INST/ HARBOR UCLA MED CTR,TORRANCE,CA,Research Institutes,90502-2006,UNITED STATES, ,1-Jan-19,31-Dec-19,853,Research Projects,2019,NINDS,50000,31050,81050,
